shift_date,market,utilization_percent
2016-12-09,2-NY,40.50932
2016-12-09,4-LA,46.69486
2016-12-09,5-CHI,39.07857
2016-12-09,6-DAL,48.44562
2016-12-09,7-HOU,45.595
2016-12-09,8-ATL,53.31722
2016-12-09,9-MIA,43.17152
2016-12-08,1-BAY,52.26295
2016-12-08,2-NY,44.9815
2016-12-08,4-LA,46.70886
2016-12-08,5-CHI,39.83825
2016-12-08,6-DAL,41.82686
2016-12-08,7-HOU,38.48217
2016-12-08,8-ATL,56.09189
2016-12-08,9-MIA,49.39285
2016-12-07,1-BAY,43.47526
2016-12-07,2-NY,47.81078
2016-12-07,4-LA,36.65854
2016-12-07,5-CHI,41.50026
2016-12-07,6-DAL,44.03652
2016-12-07,7-HOU,53.55566
2016-12-07,8-ATL,53.13113
2016-12-07,9-MIA,45.82444
2016-12-06,1-BAY,45.90536
2016-12-06,2-NY,40.67106
2016-12-06,4-LA,48.36257
2016-12-06,5-CHI,39.47952
2016-12-06,6-DAL,56.68497
2016-12-06,7-HOU,44.58352
2016-12-06,8-ATL,49.34211
2016-12-06,9-MIA,48.31964
2016-12-05,1-BAY,47.0286
2016-12-05,2-NY,38.1938
2016-12-05,4-LA,49.00022
2016-12-05,5-CHI,41.70324
2016-12-05,6-DAL,56.94632
2016-12-05,7-HOU,49.11014
2016-12-05,8-ATL,42.71845
2016-12-05,9-MIA,47.15698
2016-12-04,1-BAY,50.81111
2016-12-04,2-NY,49.13957
2016-12-04,4-LA,42.12042
2016-12-04,5-CHI,50.82722
2016-12-04,6-DAL,54.99016
2016-12-04,7-HOU,61.16878
2016-12-04,8-ATL,54.48017
2016-12-04,9-MIA,47.24284
2016-12-03,1-BAY,57.40135
2016-12-03,2-NY,39.86792
2016-12-03,4-LA,52.6964
2016-12-03,5-CHI,66.32354
2016-12-03,6-DAL,57.41222
2016-12-03,7-HOU,58.10618
2016-12-03,8-ATL,56.38052
2016-12-03,9-MIA,47.29293
2016-12-02,1-BAY,57.22236
2016-12-02,2-NY,49.09797
2016-12-02,4-LA,50.14601
2016-12-02,5-CHI,51.95722
2016-12-02,6-DAL,62.62061
2016-12-02,7-HOU,55.86544
2016-12-02,8-ATL,48.88101
2016-12-02,9-MIA,56.03536
2016-12-01,1-BAY,47.24988
2016-12-01,2-NY,33.49887
2016-12-01,4-LA,46.82337
2016-12-01,5-CHI,47.09153
2016-12-01,6-DAL,59.13754
2016-12-01,7-HOU,53.53188
2016-12-01,8-ATL,64.86035
2016-12-01,9-MIA,46.08149
2016-11-30,1-BAY,53.71333
2016-11-30,2-NY,43.92447
2016-11-30,4-LA,56.94291
2016-11-30,5-CHI,39.44538
2016-11-30,6-DAL,57.28708
2016-11-30,7-HOU,56.35083
2016-11-30,8-ATL,45.41772
2016-11-30,9-MIA,45.82425
2016-11-29,1-BAY,33.06463
2016-11-29,2-NY,30.98308
2016-11-29,4-LA,35.54335
2016-11-29,5-CHI,32.50273
2016-11-29,6-DAL,39.70944
2016-11-29,7-HOU,44.7878
